molecule_chembl_id,standard_value,canonical_smiles
CHEMBL281872,20000.0,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCn1ccnn1
CHEMBL533849,20000.0,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl
CHEMBL296468,25000.0,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1
CHEMBL352308,10000.0,COc1cc2c(Oc3ccc(Nc4ccc(C(C)(C)C)cc4)cc3)ccnc2cc1OCCNCCO
CHEMBL327725,6000.0,CC(O)C(/N=C1/C=C(O)/C(=N\C(C(=O)O)C(C)O)C=C1O)C(=O)O
CHEMBL442388,500.0,CC(O)C(/N=C1\C(O)=CC(=O)C(O)=C1CC1CCCC2CCCCC21)C(=O)O
CHEMBL319347,50000.0,COC1=CC(=O)C(N[C@@H](CO)C(=O)O)=CC1=O
CHEMBL115220,10000.0,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1
CHEMBL388978,200.0,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL103055,100000.0,CCN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1
CHEMBL85021,10100.0,CC(C)c1cc(/C=C2\C(=O)Nc3ccccc32)cc(C(C)C)c1O
CHEMBL85403,100000.0,Cc1cccc2c1/C(=C/c1ccc[nH]1)C(=O)N2
CHEMBL86755,100000.0,O=C1Nc2ccccc2/C1=C/c1ccc[nH]1
CHEMBL86943,100000.0,CCOC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccccc32)c1C
CHEMBL87080,10000.0,O=C1Nc2ccc(Br)cc2/C1=C/c1ccc(N2CCOCC2)cc1
CHEMBL86945,100000.0,COc1ccc(/C=C2\C(=O)Nc3ccccc32)cc1C(C)(C)C
CHEMBL89363,100000.0,Cc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1CCC(=O)O
CHEMBL87208,100000.0,O=C1Nc2cc(F)ccc2/C1=C/c1ccc[nH]1
CHEMBL87402,100000.0,O=C1Nc2ccccc2/C1=C/c1n[nH]cc1Cl
CHEMBL86837,100000.0,O=C1Nc2ccccc2/C1=C/c1ccc(Br)cc1
CHEMBL328452,100000.0,CCc1ccc(/C=C2/C(=O)Nc3ccccc32)o1
CHEMBL89040,67600.0,Cc1cccc2c1/C(=C/c1ccc(N3CCN(C=O)CC3)cc1)C(=O)N2
CHEMBL86432,100000.0,CSc1ccc(/C=C2\C(=O)Nc3cccc(C)c32)s1
CHEMBL90277,100000.0,Cc1cccc2c1/C(=C/c1ccc(N3CCOCC3)cc1)C(=O)N2
CHEMBL89723,100000.0,CC(C)c1cc(/C=C2\C(=O)Nc3ccc(Cl)cc32)cc(C(C)C)c1O
CHEMBL86480,100000.0,O=C1Nc2ccccc2/C1=C/c1ccc(N2CCOCC2)cc1
CHEMBL314217,100000.0,O=C1Nc2ccccc2/C1=C/c1ccc(N2CCCC2)cc1
CHEMBL87746,100000.0,COc1c(Br)cc(/C=C2\C(=O)Nc3ccccc32)cc1C(C)(C)C
CHEMBL313578,100000.0,O=C1Nc2ccccc2/C1=C/c1ccc(O)cc1
CHEMBL314798,100000.0,C/C(=C1\C(=O)Nc2ccccc21)c1ccc(N2CCCCC2)cc1
CHEMBL316008,100000.0,CCOC(=O)c1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1C
CHEMBL87783,100000.0,O=C1Nc2ccccc2/C1=C/c1sccc1Br
CHEMBL316268,100000.0,O=C1Nc2ccccc2/C1=C/c1cc(Br)cs1
CHEMBL312826,100000.0,O=C1Nc2ccccc2/C1=C\c1ccco1
CHEMBL313433,100000.0,CCc1c(/C=C2\C(=O)Nc3ccccc32)[nH]c(C)c1C
CHEMBL315701,100000.0,O=C1Nc2ccccc2/C1=C/c1ccc(N2CCCCC2)cc1
CHEMBL87810,100000.0,COc1ccc(/C=C2\C(=O)Nc3ccccc32)cc1
CHEMBL89809,100000.0,Cc1cccc2c1/C(=C/c1ccc(N(C)C)cc1)C(=O)N2
CHEMBL89646,100000.0,Cn1cc(Cl)c(/C=C2\C(=O)Nc3ccccc32)n1
CHEMBL48760,10000.0,CC(C)c1ccc(/C=C2/C(=O)Nc3ccccc32)cc1
CHEMBL276711,100000.0,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1
CHEMBL89505,49500.0,CC(C)(C)c1cc(/C=C2\C(=O)Nc3ccccc32)cc(C(C)(C)C)c1O
CHEMBL86944,100000.0,COc1c(Br)cc(/C=C2\C(=O)Nc3ccc(Cl)cc32)cc1C(C)(C)C
CHEMBL89721,100000.0,CSc1ccc(/C=C2\C(=O)Nc3ccccc32)s1
CHEMBL86921,100000.0,CN(C)c1ccc(/C=C2\C(=O)N(C)c3ccccc32)cc1
CHEMBL315546,100000.0,O=CN1CCN(c2ccc(/C=C3\C(=O)Nc4ccccc43)cc2)CC1
