molecule_chembl_id,canonical_smiles,standard_value_norm,pIC50
CHEMBL69638,Nc1ncnc2c1c(-c1cccc(Oc3ccccc3)c1)cn2C1CCCC1,1000.0,6.0
CHEMBL419082,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1O,40.0,7.3979400086720375
CHEMBL307982,CC(C)n1cc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,48.0,7.318758762624412
CHEMBL69129,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCC(O)C1,88.0,7.055517327849832
CHEMBL69827,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CC(O)C(O)C1,84.0,7.075720713938118
CHEMBL306380,Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1,170.0,6.769551078621726
CHEMBL306012,CC(C)(C)n1cc(-c2ccc(Cl)cc2)c2c(N)ncnc21,150.0,6.823908740944319
CHEMBL47940,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,70.0,7.154901959985743
CHEMBL302281,CC(C)(C)n1cc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,610.0,6.214670164989233
CHEMBL104215,Nc1ncnc2c1c(-c1cccc(O)c1)cn2-c1ccc(CCOP(=O)(O)CP(=O)(O)O)cc1,60.0,7.221848749616356
CHEMBL321569,COc1cccc(-c2cn(-c3ccc(C(=O)Nc4ccc(P(=O)(O)O)c(P(=O)(O)O)c4)cc3)c3ncnc(N)c23)c1,870.0,6.060480747381382
CHEMBL103293,COc1cc(Nc2c(C#N)cnc3cc(-c4cccc(CCN5CCOCC5)c4)ccc23)c(Cl)cc1Cl,29.0,7.5376020021010435
CHEMBL321779,Cc1ccc(-c2cn(C(C)(C)C)c3ncnc(N)c23)cc1,120.0,6.920818753952375
CHEMBL103454,CCN1CCN(CCc2ccc(-c3ccc4c(Nc5cc(OC)c(Cl)cc5Cl)c(C#N)cnc4c3)cc2)CC1,3.7,8.431798275933005
CHEMBL102595,COc1cc(Nc2c(C#N)cnc3cc(-c4cccc(CN5CCN(C)CC5)c4)ccc23)c(Cl)cc1Cl,14.0,7.853871964321762
CHEMBL419171,COc1cc(Nc2c(C#N)cnc3cc(-c4cccc(CCN5CCOCC5)c4)c(OC)cc23)c(Cl)cc1Cl,74.0,7.130768280269024
CHEMBL102165,COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CCN5CCOCC5)cc4)ccc23)c(Cl)cc1Cl,14.0,7.853871964321762
CHEMBL105056,CN(CCO)CCc1ccc(-n2cc(-c3cccc(O)c3)c3c(N)ncnc32)cc1,40.0,7.3979400086720375
CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,1.3,8.886056647693163
CHEMBL432941,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)c1,100.0,7.0
CHEMBL420609,COc1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,1390.0,5.856985199745905
CHEMBL419682,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)c1,20000.0,4.698970004336019
CHEMBL322395,COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CN5CCOCC5)cc4)ccc23)c(Cl)cc1Cl,3.3,8.481486060122112
CHEMBL88462,COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,20000.0,4.698970004336019
CHEMBL431996,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)[nH]c2c1CCCC2,60.0,7.221848749616356
CHEMBL104077,COc1cccc(-c2cn(-c3cccc(C(=O)Nc4ccc(C(P(=O)(O)O)P(=O)(O)O)cc4)c3)c3ncnc(N)c23)c1,19000.0,4.721246399047171
CHEMBL91250,COc1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,20000.0,4.698970004336019
CHEMBL88771,O=C(O)CCc1c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)[nH]c2c1CCCC2,110.0,6.958607314841775
CHEMBL104857,COc1cccc(-c2cn(-c3ccc(C(=O)NCCCP(=O)(O)CP(=O)(O)O)cc3)c3ncnc(N)c23)c1,250.0,6.6020599913279625
CHEMBL100076,COc1cc(Nc2c(C#N)cnc3cc(-c4ccccc4CN4CCOCC4)ccc23)c(Cl)cc1Cl,4000.0,5.3979400086720375
CHEMBL320417,COc1cccc(-c2cn(-c3ccc(CCO)cc3)c3ncnc(N)c23)c1,1150.0,5.939302159646388
CHEMBL3706662,Cc1ccc(-c2nn(-c3cccc(C(=O)NCCCP(=O)(O)CP(=O)(O)O)c3)c3ncnc(N)c23)cc1,400.0,6.3979400086720375
CHEMBL91815,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)cc1,60.0,7.221848749616356
CHEMBL105516,COc1cccc(-c2cn(-c3cccc(C(=O)Nc4ccc(P(=O)(O)O)c(P(=O)(O)O)c4)c3)c3ncnc(N)c23)c1,2500.0,5.6020599913279625
CHEMBL328029,O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCCC2,4740.0,5.324221658325915
CHEMBL314995,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(Br)cc32)[nH]c2c1CCCC2,1270.0,5.896196279044043
