action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,78009,[],CHEMBL678670,Evaluated for inhibitory activity towards Fibroblast growth factor receptor 1,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)c1,,,CHEMBL1133768,J Med Chem,2000.0,"{'bei': '13.26', 'le': '0.24', 'lle': '0.79', 'sei': '6.42'}",CHEMBL432941,,CHEMBL432941,5.87,0,http://www.openphacts.org/units/Nanomolar,163350,=,1,1,=,,IC50,nM,,1350.0,CHEMBL3650,Homo sapiens,Fibroblast growth factor receptor 1,9606,,,IC50,uM,UO_0000065,,1.35
,,79178,[],CHEMBL678670,Evaluated for inhibitory activity towards Fibroblast growth factor receptor 1,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,,,CHEMBL1133768,J Med Chem,2000.0,"{'bei': '16.28', 'le': '0.30', 'lle': '2.56', 'sei': '6.53'}",CHEMBL420609,,CHEMBL420609,5.97,0,http://www.openphacts.org/units/Nanomolar,163340,=,1,1,=,,IC50,nM,,1080.0,CHEMBL3650,Homo sapiens,Fibroblast growth factor receptor 1,9606,,,IC50,uM,UO_0000065,,1.08
,,80320,[],CHEMBL678670,Evaluated for inhibitory activity towards Fibroblast growth factor receptor 1,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)c1,,,CHEMBL1133768,J Med Chem,2000.0,"{'bei': '12.84', 'le': '0.23', 'lle': '-0.30', 'sei': '8.79'}",CHEMBL419682,,CHEMBL419682,4.76,0,http://www.openphacts.org/units/Nanomolar,163354,=,1,1,=,,IC50,nM,,17500.0,CHEMBL3650,Homo sapiens,Fibroblast growth factor receptor 1,9606,,,IC50,uM,UO_0000065,,17.5
,,83549,[],CHEMBL678670,Evaluated for inhibitory activity towards Fibroblast growth factor receptor 1,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,,,CHEMBL1133768,J Med Chem,2000.0,"{'bei': '12.83', 'le': '0.23', 'lle': '-0.31', 'sei': '8.78'}",CHEMBL88462,,CHEMBL88462,4.75,0,http://www.openphacts.org/units/Nanomolar,163347,=,1,1,=,,IC50,nM,,17700.0,CHEMBL3650,Homo sapiens,Fibroblast growth factor receptor 1,9606,,,IC50,uM,UO_0000065,,17.7
,,84546,[],CHEMBL678670,Evaluated for inhibitory activity towards Fibroblast growth factor receptor 1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)[nH]c2c1CCCC2,,,CHEMBL1133768,J Med Chem,2000.0,"{'bei': '17.50', 'le': '0.32', 'lle': '3.56', 'sei': '5.57'}",CHEMBL431996,,CHEMBL431996,6.66,0,http://www.openphacts.org/units/Nanomolar,163341,=,1,1,=,,IC50,nM,,220.0,CHEMBL3650,Homo sapiens,Fibroblast growth factor receptor 1,9606,,,IC50,uM,UO_0000065,,0.22
,,85632,[],CHEMBL678670,Evaluated for inhibitory activity towards Fibroblast growth factor receptor 1,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,,,CHEMBL1133768,J Med Chem,2000.0,,CHEMBL91250,,CHEMBL91250,,0,http://www.openphacts.org/units/Nanomolar,163353,>,1,1,>,,IC50,nM,,20000.0,CHEMBL3650,Homo sapiens,Fibroblast growth factor receptor 1,9606,,,IC50,uM,UO_0000065,,20.0
,,85641,[],CHEMBL678670,Evaluated for inhibitory activity towards Fibroblast growth factor receptor 1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)CCc1c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)[nH]c2c1CCCC2,,,CHEMBL1133768,J Med Chem,2000.0,"{'bei': '14.29', 'le': '0.26', 'lle': '0.83', 'sei': '7.17'}",CHEMBL88771,,CHEMBL88771,5.90,0,http://www.openphacts.org/units/Nanomolar,163339,=,1,1,=,,IC50,nM,,1270.0,CHEMBL3650,Homo sapiens,Fibroblast growth factor receptor 1,9606,,,IC50,uM,UO_0000065,,1.27
,,87620,[],CHEMBL678670,Evaluated for inhibitory activity towards Fibroblast growth factor receptor 1,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)cc1,,,CHEMBL1133768,J Med Chem,2000.0,"{'bei': '13.68', 'le': '0.25', 'lle': '0.98', 'sei': '6.62'}",CHEMBL91815,,CHEMBL91815,6.06,0,http://www.openphacts.org/units/Nanomolar,163348,=,1,1,=,,IC50,nM,,880.0,CHEMBL3650,Homo sapiens,Fibroblast growth factor receptor 1,9606,,,IC50,uM,UO_0000065,,0.88
,,88631,[],CHEMBL678670,Evaluated for inhibitory activity towards Fibroblast growth factor receptor 1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCCC2,,,CHEMBL1133768,J Med Chem,2000.0,"{'bei': '18.84', 'le': '0.34', 'lle': '1.59', 'sei': '11.09'}",CHEMBL328029,,CHEMBL328029,4.98,0,http://www.openphacts.org/units/Nanomolar,163357,=,1,1,=,,IC50,nM,,10500.0,CHEMBL3650,Homo sapiens,Fibroblast growth factor receptor 1,9606,,,IC50,uM,UO_0000065,,10.5
,,88640,[],CHEMBL678670,Evaluated for inhibitory activity towards Fibroblast growth factor receptor 1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(Br)cc32)[nH]c2c1CCCC2,,,CHEMBL1133768,J Med Chem,2000.0,"{'bei': '15.82', 'le': '0.35', 'lle': '2.40', 'sei': '7.99'}",CHEMBL314995,,CHEMBL314995,6.57,0,http://www.openphacts.org/units/Nanomolar,163343,=,1,1,=,,IC50,nM,,270.0,CHEMBL3650,Homo sapiens,Fibroblast growth factor receptor 1,9606,,,IC50,uM,UO_0000065,,0.27
